이름,카테고리,가격,단위,정규이름
[KF365] 햇 감자 1kg,채소,3990,1kg,[kf365]햇감자
햇 양파 1.5kg,채소,3990,5kg,햇양파1.
[KF365] 다다기오이 3입,채소,3990,3입,[kf365]다다기오이
한통 양배추,채소,3990,기타,한통양배추
[KF365] 애호박 1개,채소,1590,1개,[kf365]애호박
알배기 배추 1봉,채소,2990,1봉,알배기배추
[바름] 영암 친환경 꿀고구마 1.5kg,채소,6990,5kg,[바름]영암친환경꿀고구마1.
싱그러운 유러피안 샐러드믹스 2종,채소,3890,기타,싱그러운유러피안샐러드믹스2종
[KF365] 파프리카 2입,채소,2390,2입,[kf365]파프리카
깐대파 500g,채소,2990,500g,깐대파
[KF365] 브로콜리 1입,채소,3290,1입,[kf365]브로콜리
[KF365] 무농약 국산콩 콩나물 300g,채소,1490,300g,[kf365]무농약국산콩콩나물
친환경 당근 500g,채소,4490,500g,친환경당근
와일드 루꼴라 50g,채소,2511,50g,와일드루꼴라
[KF365] 새송이버섯 400g,채소,2990,400g,[kf365]새송이버섯
[KF365] 팽이버섯 2입,채소,1490,2입,[kf365]팽이버섯
친환경 오이 2입,채소,2691,2입,친환경오이
[KF365] 친환경 표고버섯 300g,채소,3990,300g,[kf365]친환경표고버섯
[KF365] 햇 양파 1.8kg,채소,5490,8kg,[kf365]햇양파1.
[KF365] 무 1통,채소,2490,기타,[kf365]무1통
천안 아우내 오이 5입,채소,4041,5입,천안아우내오이
[KF365] 청양고추 200g,채소,2390,200g,[kf365]청양고추
제주도 친환경 한통 양배추,채소,6290,기타,제주도친환경한통양배추
[KF365] 깐마늘 200g,채소,3990,200g,[kf365]깐마늘
햇 양파 900g,채소,3990,900g,햇양파
친환경 시금치 200g,채소,2990,200g,친환경시금치
양상추 1입,채소,2190,1입,양상추
[KF365] 부추 200g,채소,1990,200g,[kf365]부추
조각 양배추 500g,채소,2990,500g,조각양배추
[KF365] 가지 2입,채소,2190,2입,[kf365]가지
한끼 감자 300g,채소,2990,300g,한끼감자
[KF365] 깻잎 30g,채소,1490,30g,[kf365]깻잎
[KF365] 흙대파 1단 850g,채소,2690,850g,[kf365]흙대파1단
청경채 300g,채소,2490,300g,청경채
[KF365] 호박고구마 800g,채소,5990,800g,[kf365]호박고구마
더 달콤한 무농약 숙성 고구마 1.5kg,채소,7990,5kg,더달콤한무농약숙성고구마1.
마늘 100% 다진마늘 500g,채소,7990,500g,마늘100%다진마늘
[풀무원] 특등급 국산콩 무농약 콩나물 340g,채소,2590,340g,[풀무원]특등급국산콩무농약콩나물
친환경 햇 양파 500g,채소,3141,500g,친환경햇양파
[풀무원] 다진마늘 2종,채소,5990,기타,[풀무원]다진마늘2종
[KF365] 참타리 버섯 200g,채소,990,200g,[kf365]참타리버섯
친환경 애호박 1개,채소,1990,1개,친환경애호박
친환경 깐 양파 200g,채소,2990,200g,친환경깐양파
친환경 브로콜리 1개,채소,5490,1개,친환경브로콜리
친환경 햇 양파 1kg,채소,4490,1kg,친환경햇양파
샐러드 채소믹스 1kg,채소,8890,1kg,샐러드채소믹스
파로(엠머밀)500g,채소,10900,500g,파로(엠머밀)
믹스 샐러드 4종,채소,3340,기타,믹스샐러드4종
[풀무원] SOGA 아삭숙주 350g,채소,1890,350g,[풀무원]soga아삭숙주
한끼 깐마늘 100g,채소,2490,100g,한끼깐마늘
깐마늘 1kg,채소,12510,1kg,깐마늘
경기 시금치 200g,채소,1990,200g,경기시금치
양송이버섯 140g,채소,3490,140g,양송이버섯
친환경 감자 600g,채소,4990,600g,친환경감자
[KF365] 냉동 다진 마늘 300g,채소,6990,300g,[kf365]냉동다진마늘
깐쪽파 200g,채소,3990,200g,깐쪽파
국내산 햇 마늘종 2종,채소,5290,기타,국내산햇마늘종2종
[KF365] 청상추 150g,채소,1790,150g,[kf365]청상추
청도 미나리 300g,채소,4990,300g,청도미나리
[피그인더가든] 프레쉬믹스 베이직샐러드,채소,2190,기타,[피그인더가든]프레쉬믹스베이직샐러드
상주 흑침 오이 5입,채소,4490,5입,상주흑침오이
[KF365] 밤고구마 800g,채소,4491,800g,[kf365]밤고구마
[제각각] 다다기오이 7입,채소,4990,7입,[제각각]다다기오이
햇 양파 3kg,채소,7990,3kg,햇양파
[김구원선생] 장수 콩나물 600g,채소,1990,600g,[김구원선생]장수콩나물
친환경 버터헤드레터스,채소,3390,기타,친환경버터헤드레터스
바로 데워먹는 야채찜1kg,채소,12290,1kg,바로데워먹는야채찜
친환경 양배추 슬라이스 300g,채소,3640,300g,친환경양배추슬라이스
친환경 깻잎 100g,채소,3990,100g,친환경깻잎
밀양 햇 흙당근 1kg,채소,3591,1kg,밀양햇흙당근
[바름팜] 친환경 채소믹스 샐러드 500g(250g*2봉),채소,6790,500g,[바름팜]친환경채소믹스샐러드(*)
한끼 당근,채소,2190,기타,한끼당근
채소믹스 500g,채소,5290,500g,채소믹스
GAP 장수 숙주나물 200g,채소,1490,200g,gap장수숙주나물
[KF365] 포기로메인 300g,채소,3390,300g,[kf365]포기로메인
상추&깻잎 간편쌈 120g,채소,2990,120g,상추&깻잎간편쌈
흙대파 1.2kg,채소,1990,2kg,흙대파1.
감자 2kg,채소,10710,2kg,감자
표고버섯 100g,채소,2990,100g,표고버섯
미나리 250g,채소,3990,250g,미나리
국산 완두콩 500g,채소,7990,500g,국산완두콩
미니 파프리카 200g,채소,4990,200g,미니파프리카
미니오이 5입,채소,2990,5입,미니오이
[김구원선생] 무농약 숙주나물 200g,채소,2190,200g,[김구원선생]무농약숙주나물
파프리카 4입/봉,채소,5990,4입,파프리카/봉
친환경 손질한 잎몸 대파 200g,채소,3591,200g,친환경손질한잎몸대파
한입 꿀고구마 1kg,채소,4990,1kg,한입꿀고구마
친환경 조각 양배추 400g,채소,3490,400g,친환경조각양배추
베이비 아스파라거스 100g,채소,5790,100g,베이비아스파라거스
[저스트그린] 데일리 샐러드 4종,채소,1776,기타,[저스트그린]데일리샐러드4종
뉴질랜드 단호박 1통,채소,3990,기타,뉴질랜드단호박1통
친환경 브라운 양송이 150g,채소,3990,150g,친환경브라운양송이
이탈리안 루꼴라 샐러드믹스 2종,채소,4990,기타,이탈리안루꼴라샐러드믹스2종
[제각각] 양송이버섯 300g,채소,4490,300g,[제각각]양송이버섯
친환경 당근채 200g,채소,3590,200g,친환경당근채
꿀 밤고구마 3kg,채소,14900,3kg,꿀밤고구마
당도선별 성주 참외 1.5kg (4~7입),과일_견과_쌀,10900,5kg,당도선별성주참외1.(4~)
[KF365] 국산 블루베리 200g (특),과일_견과_쌀,12900,200g,[kf365]국산블루베리(특)
[KF365] 대추방울토마토 750g,과일_견과_쌀,6990,750g,[kf365]대추방울토마토
세척사과 1.4kg (6~7입),과일_견과_쌀,14900,4kg,세척사과1.(6~)
성주 꼬마 참외 900g (5~8입),과일_견과_쌀,9990,900g,성주꼬마참외(5~)
[퓨어스펙] 블랙라벨 고당도 오렌지 1.5kg (8입),과일_견과_쌀,8990,5kg,[퓨어스펙]블랙라벨고당도오렌지1.()
[KF365] 당도선별 수박 4kg 이상,과일_견과_쌀,24900,4kg,[kf365]당도선별수박이상
국산 블루베리 100g (특),과일_견과_쌀,7990,100g,국산블루베리(특)
[Dole] 스위티오 바나나 2종,과일_견과_쌀,4990,기타,[dole]스위티오바나나2종
땅끝 해남 쌀 10kg,과일_견과_쌀,32900,10kg,땅끝해남쌀
[KF365] 실속 바나나 1kg 2종,과일_견과_쌀,3990,1kg,[kf365]실속바나나2종
[일일특가] 스테비아 대추방울토마토 1kg,과일_견과_쌀,9990,1kg,[일일특가]스테비아대추방울토마토
고랭지 햇사과 1.3kg (4~6입),과일_견과_쌀,19900,3kg,고랭지햇사과1.(4~)
냉동 칠레산 블루베리 1kg,과일_견과_쌀,9990,1kg,냉동칠레산블루베리
14brix 못생겨도 맛있는 사과 1.5kg,과일_견과_쌀,19900,5kg,14brix못생겨도맛있는사과1.
스테비아 대추방울토마토 450g,과일_견과_쌀,7990,450g,스테비아대추방울토마토
완숙토마토 1kg,과일_견과_쌀,7990,1kg,완숙토마토
[KF365] 유명산지 고당도사과 1.5kg (5~6입),과일_견과_쌀,25900,5kg,[kf365]유명산지고당도사과1.(5~)
7일 향미 8kg,과일_견과_쌀,35900,8kg,7일향미
7일 향미 4kg,과일_견과_쌀,19900,4kg,7일향미
대저 토마토 1kg,과일_견과_쌀,13900,1kg,대저토마토
[KF365] 당도선별 수박 5kg 이상,과일_견과_쌀,29900,5kg,[kf365]당도선별수박이상
[제스프리] 뉴질랜드 점보 썬골드키위 750g (5입/대과) (후숙필요),과일_견과_쌀,8990,750g,[제스프리]뉴질랜드점보썬골드키위(/대과)(후숙필요)
[KF365] 기본에 충실한 하루견과(20g*14봉),과일_견과_쌀,11900,20g,[kf365]기본에충실한하루견과(*)
[대한제일미] 서산 간척지 시월미소미 쌀10kg,과일_견과_쌀,29900,10kg,[대한제일미]서산간척지시월미소미쌀
[Dole] 페루 아보카도 1kg (4~7입),과일_견과_쌀,9990,1kg,[dole]페루아보카도(4~)
[KF365] 완숙토마토 2kg,과일_견과_쌀,9990,2kg,[kf365]완숙토마토
고랭지 부사 사과 3kg(12입),과일_견과_쌀,39900,3kg,고랭지부사사과()
바로먹는 아보카도 3입,과일_견과_쌀,10900,3입,바로먹는아보카도
[제스프리] 뉴질랜드 골드키위 1.1kg (8~10입) (후숙필요),과일_견과_쌀,9990,1kg,[제스프리]뉴질랜드골드키위1.(8~)(후숙필요)
[cutie] 미국산 만다린 800g,과일_견과_쌀,9990,800g,[cutie]미국산만다린
친환경 대추방울토마토 500g,과일_견과_쌀,6990,500g,친환경대추방울토마토
무농약 마틸다 토마토 1kg,과일_견과_쌀,11900,1kg,무농약마틸다토마토
냉동 유기농 블루베리 700g (미국산),과일_견과_쌀,12900,700g,냉동유기농블루베리(미국산)
[KF365] 머스크멜론 1.6kg,과일_견과_쌀,11900,6kg,[kf365]머스크멜론1.
[MPARK] 미국산 블랙라벨 네이블 오렌지 1kg (5~6입),과일_견과_쌀,6990,1kg,[mpark]미국산블랙라벨네이블오렌지(5~)
[KF365] 컷팅파인애플 1kg,과일_견과_쌀,12900,1kg,[kf365]컷팅파인애플
[스윗볼] 스테비아 토마토 3종,과일_견과_쌀,7990,기타,[스윗볼]스테비아토마토3종
[KF365] 친환경 블루베리 200g (특),과일_견과_쌀,14900,200g,[kf365]친환경블루베리(특)
미국산 캘리포니아 생체리 300g (10row),과일_견과_쌀,12900,300g,미국산캘리포니아생체리(10row)
[스미후루] 감숙왕 바나나 2종,과일_견과_쌀,4990,기타,[스미후루]감숙왕바나나2종
당도선별 한라봉 1kg (3~5입),과일_견과_쌀,15900,1kg,당도선별한라봉(3~)
[KF365] 방울토마토 500g,과일_견과_쌀,5990,500g,[kf365]방울토마토
달보드레쌀 4kg,과일_견과_쌀,14900,4kg,달보드레쌀
씻어나온 완전미 고시히카리 쌀 4kg,과일_견과_쌀,18900,4kg,씻어나온완전미고시히카리쌀
[Dole] 스위티오 파인애플 슬라이스 540g,과일_견과_쌀,9990,540g,[dole]스위티오파인애플슬라이스
델라웨어 포도 200g,과일_견과_쌀,10900,200g,델라웨어포도
[KF365] 아보카도 (1개),과일_견과_쌀,3390,1개,[kf365]아보카도()
친환경 블루베리 300g (상),과일_견과_쌀,19900,300g,친환경블루베리(상)
무농약 대저 짭짤이 토마토 600g (2S-M),과일_견과_쌀,15900,600g,무농약대저짭짤이토마토(2s-m)
친환경 블루베리 100g (특),과일_견과_쌀,9900,100g,친환경블루베리(특)
GAP 대추방울토마토 1kg,과일_견과_쌀,10900,1kg,gap대추방울토마토
벌이 수정한 퇴촌 토마토 2종,과일_견과_쌀,9990,기타,벌이수정한퇴촌토마토2종
